"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"21",1536691101531,51.2888898,0.5008355,15,2018-09-11 19:38:21
"30",1536691341553,51.2888898,0.5008355,15,2018-09-11 19:42:21
"40",1536691478718,51.2889092,0.5008482,16,2018-09-11 19:44:38
"41",1536691515381,51.2889077,0.5008622,14,2018-09-11 19:45:15
"60",1536691682962,51.2889092,0.5008482,16,2018-09-11 19:48:02
"61",1536691707445,51.2889092,0.5008482,16,2018-09-11 19:48:27
"62",1536691733540,51.2889092,0.5008482,16,2018-09-11 19:48:53
"73",1536691857901,51.2888381,0.5008541,10,2018-09-11 19:50:57
"74",1536691874406,51.2889092,0.5008482,31,2018-09-11 19:51:14
"75",1536691994640,51.2889092,0.5008482,31,2018-09-11 19:53:14
"125",1536692834835,51.2889092,0.5008482,31,2018-09-11 20:07:14
"134",1536692954853,51.2889092,0.5008482,31,2018-09-11 20:09:14
"135",1536693255866,51.2889092,0.5008482,31,2018-09-11 20:14:15
"136",1536693377399,51.2888624,0.5007705,15,2018-09-11 20:16:17
"137",1536693436537,51.2889092,0.5008482,35,2018-09-11 20:17:16
"138",1536693736658,51.2889092,0.5008482,35,2018-09-11 20:22:16
"150",1536694151350,51.2889092,0.5008482,35,2018-09-11 20:29:11
"173",1536694558110,51.2889092,0.5008482,35,2018-09-11 20:35:58
"196",1536694918199,51.2889092,0.5008482,35,2018-09-11 20:41:58
"208",1536695158237,51.2889092,0.5008482,35,2018-09-11 20:45:58
"209",1536695174000,51.2889032,0.5007837,10,2018-09-11 20:46:14
"210",1536695189000,51.2888615,0.5007835,10,2018-09-11 20:46:29
"221",1536695281385,51.2888826,0.5008269,14,2018-09-11 20:48:01
"232",1536695526783,51.2888385,0.5008883,12,2018-09-11 20:52:06
"233",1536695646797,51.2888385,0.5008883,12,2018-09-11 20:54:06
"245",1536695870351,51.2888826,0.5008484,14,2018-09-11 20:57:50
"246",1536695931059,51.2888843,0.5008457,14,2018-09-11 20:58:51
"257",1536696051218,51.2888843,0.5008457,14,2018-09-11 21:00:51
"258",1536696353179,51.2888843,0.5008457,14,2018-09-11 21:05:53
"259",1536696413522,51.2888843,0.5008457,14,2018-09-11 21:06:53
"282",1536696893333,51.2888843,0.5008457,14,2018-09-11 21:14:53
"428",1536699203108,51.2888345,0.5009109,14,2018-09-11 21:53:23
"441",1536699600113,51.2888345,0.5009109,14,2018-09-11 22:00:00
"442",1536699684239,51.2888345,0.5009109,14,2018-09-11 22:01:24
"443",1536699721130,51.2888345,0.5009109,14,2018-09-11 22:02:01
"444",1536700035119,51.2888345,0.5009109,14,2018-09-11 22:07:15
"456",1536700238615,51.2888899,0.500988,14,2018-09-11 22:10:38
"457",1536700281322,51.2889012,0.5009822,14,2018-09-11 22:11:21
"469",1536700514492,51.2889096,0.5008671,14,2018-09-11 22:15:14
"470",1536700634553,51.2888881,0.5008347,15,2018-09-11 22:17:14
"471",1536700753205,51.2888895,0.5008362,15,2018-09-11 22:19:13
"472",1536700900119,51.2888895,0.5008362,15,2018-09-11 22:21:40
"484",1536701140195,51.2888895,0.5008362,15,2018-09-11 22:25:40
"507",1536701500229,51.2888895,0.5008362,15,2018-09-11 22:31:40
"531",1536701862107,51.2888895,0.5008362,15,2018-09-11 22:37:42
"532",1536702085119,51.2888895,0.5008362,15,2018-09-11 22:41:25
"533",1536702322354,51.2888895,0.5008362,15,2018-09-11 22:45:22
"534",1536702458113,51.2888895,0.5008362,15,2018-09-11 22:47:38
"535",1536702518447,51.2888895,0.5008362,15,2018-09-11 22:48:38
"536",1536702623102,51.2888895,0.5008362,15,2018-09-11 22:50:23
"537",1536703839293,51.2889092,0.5008482,16,2018-09-11 23:10:39
"538",1536705692360,51.2889092,0.5008482,16,2018-09-11 23:41:32
"539",1536706292474,51.2889092,0.5008482,16,2018-09-11 23:51:32
"540",1536707112235,51.2889092,0.5008482,39,2018-09-12 00:05:12
"555",1536709578679,51.2889092,0.5008482,28,2018-09-12 00:46:18
"556",1536710179082,51.2889092,0.5008482,42,2018-09-12 00:56:19
